fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221015 080632	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1952	TRUE	273107	0.00502181738882657	0.243504298773419	6564	406	9526	26710000	56
20221015 081634	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2065	TRUE	273107	0.00543366185802448	0.630555046295677	2266	625	9536	27170000	57
20221015 082447	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1310	TRUE	273107	0.00627328627182511	0.474987975438181	6124	172	9395	27210000	58
20221015 083158	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1282	TRUE	273107	0.00504921958689815	0.684970627880725	2691	259	9534	27020000	59
20221015 083315	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	210	TRUE	273107	0.0811658005646183	0.471133204057399	6130	414	9414	26540000	60
20221015 084259	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1882	TRUE	273107	0.00514153258799424	0.337004767446708	6338	975	9320	26880000	61
20221015 085434	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2391	TRUE	273107	0.00500501147739294	0.348647147370234	7944	138	9301	26760000	62
20221015 090126	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	954	TRUE	273107	0.00506943648175468	0.997645409919677	1999	842	7434	26740000	63
20221015 090854	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1230	TRUE	273107	0.00527900592516972	0.999511952089321	2027	88	8910	27300000	64
20221015 091555	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	826	TRUE	273107	0.00525126773663462	0.999599309813199	1375	418	9298	26930000	65
20221015 092216	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	981	TRUE	273107	0.00502838226625582	0.960679134084418	1902	42	7174	26140000	66
20221015 092751	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	846	TRUE	273107	0.00565931561059009	0.999792829453697	2799	57	9565	26310000	67
20221015 093422	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	960	TRUE	273107	0.00501617975364602	0.99896965458677	2312	1012	8905	26750000	68
20221015 094448	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2107	TRUE	273107	0.00504662378062295	0.321989307712269	6550	104	11767	26310000	69
20221015 094619	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	213	TRUE	273107	0.026154106592858	0.690198052136158	3064	896	9258	26370000	70
